epoch,train_loss,test_loss
1,1.0248105092482134,0.770359218120575
2,1.0238184910832029,0.758026252190272
3,1.0041166489774531,0.7447822093963623
4,0.9801318663539309,0.726331944266955
5,0.9639388955000675,0.7186646014451981
6,0.9508402672680941,0.7016706963380178
7,0.9430175405560117,0.7206942637761434
8,0.9375196027033257,0.7043960144122442
9,0.9224904667247426,0.6872452000776926
10,0.9018748005231222,0.6662096778551737
11,0.8877651041204279,0.6579613387584686
12,0.8524841052113157,0.6168674876292547
13,0.7114333582646919,0.44272854179143906
14,0.4861816881280957,0.38594698657592136
15,0.4432310741959196,0.38554123044013977
16,0.42746037606037024,0.3533388078212738
17,0.40526898069815204,0.3396623382965724
18,0.3612327395063458,0.3141846793393294
19,0.3485874831676483,0.29953377569715184
20,0.33812758958700934,0.3129620924592018
21,0.32699286937713623,0.28192682067553204
22,0.3156970716787107,0.2957635273536046
23,0.314644505128716,0.2830112352967262
24,0.3114897215908224,0.28038057684898376
25,0.3094282958543662,0.26133860523502034
26,0.30858839732227905,0.2816161861022313
27,0.30614873947519244,0.2852358967065811
28,0.29823872672789026,0.26996994763612747
29,0.29488430149627454,0.267938827474912
30,0.2982449432214101,0.34604379783074063
31,0.3027927505247521,0.3010048493742943
32,0.2914432874231627,0.28326380625367165
33,0.2866634320129048,0.2508690531055133
34,0.2861041051871849,0.2504488875468572
35,0.2856945463202216,0.30068320284287137
36,0.28969265972123004,0.270401185999314
37,0.2978873180620598,0.24976268907388052
38,0.28356268911650684,0.2707347422838211
39,0.28118728281873645,0.26928642640511197
40,0.2793324282675078,0.26355230808258057
41,0.27862834027319244,0.2505276948213577
42,0.2762626937844537,0.23175852249066034
43,0.27701101113449444,0.2545323582986991
44,0.2774253541773016,0.3228326340516408
45,0.27831127968701447,0.2443173180023829
46,0.2731395801811507,0.2462343859175841
47,0.2716294946995648,0.2530246898531914
48,0.27094467345512274,0.2559116917351882
49,0.27508097390333813,0.24229483927289644
50,0.2701558967431386,0.2692919597029686
51,0.27105188911611383,0.23481760049859682
52,0.2638512321493842,0.23022219787041345
53,0.260982434406425,0.2467079609632492
54,0.2685911637364012,0.23955550665656725
55,0.2606365287845785,0.2277876560886701
56,0.2577642382997455,0.22878758733471236
57,0.25650345827593946,0.24465140079458556
58,0.26551800153472205,0.22594326610366502
59,0.2582327312592304,0.26823627079526585
60,0.25983805638371094,0.23724828908840814
61,0.26619474228584405,0.790817196170489
62,0.4035120037468997,0.3120935559272766
63,0.3404070355675437,0.3073605497678121
64,0.34260625098690844,0.31417155017455417
65,0.33499343738411413,0.3115537017583847
66,0.3314078224427772,0.3232911353309949
67,0.3316792023904396,0.3122698590159416
68,0.32426932183178986,0.30566102017958957
